Temperature | Nmsa
0.01 | 104.700309314147
0.1 | 124.78006102618
0.2 | 186.651497933628
0.3 | 188.615530376014
0.35 | 188.802471686074
0.39 | 188.84718912325
0.4 | 188.849382376729
0.5 | 188.756699351436
0.6 | 188.554717746858
0.7 | 188.308926907304
0.8 | 188.045914672896
0.9 | 187.778151949769
1.0 | 187.511997294976
1.1 | 187.250842104109
1.2 | 186.996515682295
1.3 | 186.749974791697
1.4 | 186.511667424087
1.5 | 186.281735997558
1.6 | 186.060136178043
1.7 | 185.846708967647
1.8 | 185.641225743581
1.9 | 185.443417048493
2.0 | 185.252991308259
