Temperature | Free_Energy
0.01 | -369.141232734584
0.1 | -340.028378378485
0.2 | -329.059188659611
0.3 | -324.305311191858
0.35 | -322.38364427115
0.39 | -321.047805617232
0.4 | -320.739239722858
0.5 | -318.119816211165
0.6 | -316.147159504473
0.7 | -314.609028425592
0.8 | -313.370304184793
0.9 | -312.345229833837
1.0 | -311.477977573349
1.1 | -310.730984983519
1.2 | -310.078127290071
1.3 | -309.500667563986
1.4 | -308.984791686398
1.5 | -308.520063229838
1.6 | -308.098426230741
1.7 | -307.71354351465
1.8 | -307.360346273803
1.9 | -307.034720170865
2.0 | -306.733281856331
