,T,Nmm,Nms
0,0.01,32.0,768.0
1,0.025,32.0,768.0
2,0.05,32.0000009086533,767.999998182693
3,0.075,32.0007137230261,767.998572553949
4,0.1,32.0198038842019,767.960392231594
5,0.25,35.0373344039116,761.925331192129
6,0.5,79.2518627358264,673.496274527837
7,0.75,125.24801571441,581.503968571239
8,1.0,127.617007209454,576.76598558111
9,2.5,98.8882149150112,634.223570170244
10,5.0,79.5181316724001,672.963736655515
11,10.0,70.463048103339,691.073903792914
12,25.0,65.7216453393087,700.556709321675
13,50.0,64.2733140603518,703.453371878914
14,100.0,63.5742328439468,704.85153431246
