Temperature | Energy
0.01 | -799.0
0.1 | -798.927061966056
0.2 | -783.367461590232
0.3 | -721.292490357323
0.35 | -680.29347252276
0.39 | -646.485227773373
0.4 | -638.056742252904
0.5 | -558.265712263647
0.6 | -500.770612038147
0.7 | -464.015819039992
0.8 | -437.838568295581
0.9 | -417.799150526636
1.0 | -401.792457967482
1.1 | -388.625955586473
1.2 | -377.55150381125
1.3 | -368.070186834069
1.4 | -359.835075481862
1.5 | -352.597071142465
1.6 | -346.17251450123
1.7 | -340.42283937031
1.8 | -335.241322725784
1.9 | -330.544209992926
2.0 | -326.264633397002
