num,T,Nmm,Nms
0,0.01,198.572751558583,434.854496882835
1,0.025,198.373579450066,435.252841099869
2,0.05,198.305306673318,435.389386653365
3,0.075,198.282316771483,435.435366457033
4,0.1,198.270329919903,435.459340160189
5,0.25,197.880429856469,436.23914028705
6,0.5,195.135710023766,441.728579952458
7,0.75,191.341273131698,449.317453736595
8,1.0,187.279121267609,457.441757464734
9,2.5,162.994657540261,506.010684919492
10,5.0,129.073629832105,573.852740335892
11,10.0,93.5376091537517,644.924781692637
12,25.0,72.6497582587652,686.700483482
13,50.0,67.3385987164766,697.322802566614
14,100.0,65.012954527781,701.974090944764
