This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-2962 | 0
-2962 | 1
-2962 | 2
-2962 | 3
-2965 | 4
-2965 | 5
-2968 | 6
-2968 | 7
-2968 | 8
-2968 | 9
-2968 | 10
-2968 | 11
-2968 | 12
-2968 | 13
-2968 | 14
-2968 | 15
-2968 | 16
-2968 | 17
-2968 | 18
-2968 | 19
-2968 | 20
-2968 | 21
-2968 | 22
-2968 | 23
-2968 | 24
-2968 | 25
-2968 | 26
-2968 | 27
-2968 | 28
-2968 | 29
-2968 | 30
-2968 | 31
-2968 | 32
-2968 | 33
-2968 | 34
-2968 | 35
-2968 | 36
-2968 | 37
-2968 | 38
-2968 | 39
-2968 | 40
-2968 | 41
-2968 | 42
-2968 | 43
-2968 | 44
-2968 | 45
-2968 | 46
-2968 | 47
-2968 | 48
-2968 | 49
-2968 | 50
-2968 | 51
-2968 | 52
-2968 | 53
-2968 | 54
-2968 | 55
-2968 | 56
-2968 | 57
-2968 | 58
-2968 | 59
-2968 | 60
-2968 | 61
-2968 | 62
-2968 | 63
-2968 | 64
-2968 | 65
-2968 | 66
-2968 | 67
-2968 | 68
-2968 | 69
-2968 | 70
-2968 | 71
-2968 | 72
-2968 | 73
-2968 | 74
-2968 | 75
-2968 | 76
-2968 | 77
-2968 | 78
-2968 | 79
-2968 | 80
-2968 | 81
-2968 | 82
-2968 | 83
-2968 | 84
-2968 | 85
-2968 | 86
-2968 | 87
-2968 | 88
-2968 | 89
-2968 | 90
-2968 | 91
-2968 | 92
-2968 | 93
-2968 | 94
-2968 | 95
-2968 | 96
-2968 | 97
-2968 | 98
-2968 | 99
-2968 | 100
