START POLYMER 0
0 0 0
0 1001 0
1 1001 0
1 1001 1
0 1001 1
0 1001 2
0 1000 2
0 999 2
0 998 2
1001 998 2
1000 998 2
1000 997 2
1001 997 2
1001 996 2
1001 996 1
1001 996 0
1001 997 0
1001 998 0
1001 998 1001
1000 998 1001
1000 999 1001
1000 999 1000
1000 999 999
999 999 999
999 1000 999
999 1000 998
999 1001 998
999 1001 997
1000 1001 997
1000 1001 998
1000 1001 999
1000 1000 999
1000 1000 998
1000 999 998
1001 999 998
1001 998 998
1000 998 998
1000 998 999
1000 997 999
999 997 999
999 997 998
1000 997 998
1001 997 998
0 997 998
0 997 999
0 997 1000
1 997 1000
2 997 1000
2 997 999
1 997 999
1 997 998
1 998 998
0 998 998
0 999 998
0 999 997
0 998 997
0 998 996
0 998 995
0 997 995
0 996 995
0 996 994
1 996 994
2 996 994
2 996 995
2 996 996
2 997 996
3 997 996
3 997 997
3 998 997
2 998 997
2 997 997
1 997 997
1 996 997
1 995 997
0 995 997
0 995 996
1 995 996
2 995 996
3 995 996
4 995 996
4 995 997
4 995 998
4 996 998
5 996 998
6 996 998
7 996 998
7 996 997
7 997 997
8 997 997
8 997 998
8 997 999
8 997 1000
9 997 1000
9 998 1000
8 998 1000
8 998 999
9 998 999
9 999 999
8 999 999
8 999 1000
8 1000 1000
8 1000 999
7 1000 999
7 1000 1000
7 1000 1001
8 1000 1001
8 1001 1001
8 0 1001
9 0 1001
9 1001 1001
9 1001 1000
9 1001 999
9 0 999
9 1 999
9 2 999
8 2 999
8 3 999
7 3 999
7 2 999
7 1 999
8 1 999
8 0 999
8 0 1000
8 1 1000
7 1 1000
7 2 1000
7 2 1001
7 3 1001
8 3 1001
8 2 1001
9 2 1001
9 1 1001
8 1 1001
8 1 0
7 1 0
7 2 0
7 2 1
7 3 1
7 3 2
8 3 2
9 3 2
9 3 1
9 4 1
8 4 1
8 4 2
8 5 2
9 5 2
9 6 2
9 7 2
9 8 2
9 8 1
9 8 0
9 7 0
9 7 1
9 6 1
9 6 0
9 6 1001
8 6 1001
7 6 1001
7 7 1001
8 7 1001
8 7 1000
7 7 1000
7 6 1000
8 6 1000
9 6 1000
10 6 1000
10 7 1000
11 7 1000
11 7 999
12 7 999
12 8 999
12 8 998
12 7 998
11 7 998
11 7 997
11 6 997
11 6 998
12 6 998
13 6 998
13 7 998
14 7 998
14 7 997
14 6 997
14 6 996
15 6 996
15 7 996
16 7 996
17 7 996
17 7 997
16 7 997
15 7 997
15 7 998
15 7 999
15 8 999
15 9 999
15 10 999
16 10 999
16 10 998
15 10 998
15 10 997
15 11 997
14 11 997
13 11 997
12 11 997
12 11 996
11 11 996
11 12 996
10 12 996
10 11 996
10 11 997
10 10 997
10 10 996
9 10 996
9 11 996
9 11 997
9 12 997
8 12 997
8 11 997
7 11 997
7 11 998
7 10 998
8 10 998
8 9 998
7 9 998
7 9 999
6 9 999
6 10 999
5 10 999
5 10 1000
6 10 1000
6 9 1000
7 9 1000
7 9 1001
7 9 0
7 8 0
6 8 0
6 9 0
6 9 1
7 9 1
7 8 1
7 8 2
7 8 3
8 8 3
9 8 3
9 9 3
9 9 4
9 8 4
10 8 4
10 8 5
10 8 6
10 7 6
11 7 6
11 6 6
11 5 6
11 5 7
11 4 7
10 4 7
10 3 7
9 3 7
9 2 7
9 2 8
8 2 8
8 3 8
7 3 8
7 3 9
8 3 9
8 4 9
8 4 8
9 4 8
9 4 9
9 4 10
9 3 10
9 2 10
8 2 10
8 2 11
8 1 11
8 0 11
8 1001 11
8 1001 12
8 1000 12
8 1000 13
8 999 13
7 999 13
7 999 14
7 1000 14
8 1000 14
8 1001 14
9 1001 14
9 1001 15
9 1001 16
8 1001 16
8 0 16
8 0 15
8 0 14
8 1 14
8 1 15
9 1 15
9 0 15
9 0 16
10 0 16
10 1 16
10 1 17
10 0 17
10 1001 17
10 1001 16
11 1001 16
11 1001 17
11 1000 17
12 1000 17
13 1000 17
13 1001 17
13 1001 18
13 1000 18
14 1000 18
14 1001 18
14 0 18
15 0 18
15 1 18
14 1 18
14 1 19
14 0 19
13 0 19
13 0 20
13 1001 20
13 1000 20
13 1000 19
14 1000 19
14 999 19
14 999 18
13 999 18
13 999 17
13 998 17
13 998 18
12 998 18
12 999 18
12 999 17
12 998 17
12 997 17
13 997 17
13 996 17
12 996 17
12 995 17
12 995 16
13 995 16
13 994 16
12 994 16
11 994 16
11 995 16
11 995 17
10 995 17
10 995 16
10 994 16
10 993 16
10 993 17
10 992 17
10 992 16
11 992 16
11 993 16
12 993 16
12 993 15
12 994 15
11 994 15
11 993 15
10 993 15
10 994 15
9 994 15
9 994 16
9 995 16
9 995 15
9 995 14
9 994 14
9 994 13
10 994 13
10 995 13
10 995 12
10 995 11
10 995 10
10 994 10
10 994 9
10 993 9
10 992 9
10 992 10
10 993 10
10 993 11
10 992 11
11 992 11
11 991 11
11 991 12
10 991 12
9 991 12
8 991 12
7 991 12
7 992 12
7 992 11
7 992 10
6 992 10
6 992 9
6 992 8
6 991 8
6 990 8
5 990 8
5 991 8
5 992 8
5 992 7
5 992 6
4 992 6
4 991 6
4 991 7
3 991 7
3 990 7
3 990 8
3 989 8
4 989 8
4 989 7
3 989 7
3 989 6
3 988 6
2 988 6
2 988 7
2 988 8
2 988 9
1 988 9
1 987 9
1 987 8
1 987 7
1 988 7
1 989 7
1 989 8
2 989 8
2 989 9
2 989 10
2 990 10
2 991 10
2 991 11
3 991 11
3 991 10
3 991 9
3 991 8
4 991 8
4 990 8
4 990 9
5 990 9
5 990 10
5 991 10
5 992 10
5 993 10
4 993 10
4 993 11
4 994 11
3 994 11
2 994 11
2 995 11
2 996 11
2 996 10
2 995 10
2 994 10
2 993 10
2 993 9
1 993 9
1 993 8
2 993 8
2 994 8
2 995 8
3 995 8
4 995 8
4 994 8
5 994 8
5 994 9
5 994 10
5 994 11
5 995 11
5 996 11
5 996 12
4 996 12
4 997 12
5 997 12
5 998 12
6 998 12
6 998 11
6 999 11
6 999 12
6 1000 12
6 1000 11
7 1000 11
8 1000 11
9 1000 11
9 1001 11
9 1001 12
9 0 12
9 0 13
9 1001 13
8 1001 13
8 0 13
8 0 12
7 0 12
7 1001 12
6 1001 12
6 1001 11
5 1001 11
5 1000 11
4 1000 11
4 1000 10
5 1000 10
5 1000 9
5 1000 8
6 1000 8
6 1000 9
6 1001 9
6 1001 10
5 1001 10
4 1001 10
4 1001 11
4 1001 12
5 1001 12
5 1000 12
5 999 12
5 999 11
4 999 11
4 998 11
4 998 10
4 999 10
5 999 10
5 998 10
5 998 9
4 998 9
4 997 9
5 997 9
5 997 8
5 998 8
6 998 8
6 997 8
6 997 7
6 997 6
6 998 6
5 998 6
5 998 5
5 997 5
5 997 6
5 997 7
5 996 7
5 995 7
5 995 8
6 995 8
6 996 8
6 996 9
7 996 9
7 996 8
8 996 8
8 995 8
8 994 8
9 994 8
10 994 8
11 994 8
12 994 8
13 994 8
14 994 8
14 995 8
13 995 8
12 995 8
11 995 8
11 996 8
10 996 8
10 996 7
11 996 7
11 996 6
12 996 6
12 996 7
13 996 7
13 996 8
13 996 9
12 996 9
12 996 8
12 997 8
12 997 9
13 997 9
13 997 8
13 997 7
12 997 7
12 997 6
13 997 6
14 997 6
14 997 5
13 997 5
13 997 4
12 997 4
12 996 4
12 996 5
11 996 5
10 996 5
10 997 5
10 997 4
9 997 4
9 997 5
9 998 5
9 998 4
9 998 3
9 998 2
10 998 2
10 999 2
9 999 2
9 999 1
9 1000 1
10 1000 1
10 1000 2
10 1001 2
10 1001 1
11 1001 1
11 1001 2
11 1000 2
11 999 2
11 999 1
11 1000 1
11 1000 0
10 1000 0
9 1000 0
9 999 0
10 999 0
10 999 1
10 998 1
10 997 1
10 997 0
11 997 0
11 997 1001
11 996 1001
11 995 1001
11 995 1000
11 994 1000
11 994 999
11 995 999
11 995 998
11 995 997
12 995 997
12 996 997
12 996 998
12 997 998
11 997 998
11 998 998
11 998 999
11 998 1000
12 998 1000
12 997 1000
12 997 1001
12 997 0
12 998 0
13 998 0
13 998 1
12 998 1
12 999 1
12 999 2
12 998 2
11 998 2
11 998 1
11 998 0
10 998 0
9 998 0
8 998 0
8 998 1
8 999 1
7 999 1
7 999 0
7 998 0
7 998 1001
7 999 1001
6 999 1001
6 1000 1001
6 1001 1001
6 0 1001
6 0 1000
7 0 1000
7 0 1001
7 1 1001
6 1 1001
5 1 1001
5 1 0
5 2 0
5 2 1001
5 2 1000
5 1 1000
5 0 1000
5 0 999
5 0 998
6 0 998
6 0 999
7 0 999
7 0 998
7 1 998
6 1 998
6 1 997
5 1 997
5 2 997
5 2 998
5 1 998
4 1 998
4 2 998
4 2 999
4 1 999
4 1 1000
4 0 1000
4 1001 1000
4 1000 1000
4 1000 1001
3 1000 1001
3 999 1001
3 999 0
2 999 0
2 999 1
2 1000 1
3 1000 1
3 1001 1
3 1001 2
3 1001 3
3 0 3
3 1 3
3 2 3
4 2 3
4 2 2
4 3 2
3 3 2
3 2 2
3 1 2
3 0 2
4 0 2
5 0 2
5 0 1
5 0 0
5 0 1001
5 1001 1001
5 1001 1000
6 1001 1000
6 1000 1000
6 1000 999
6 1001 999
6 1001 998
5 1001 998
5 1001 999
5 1000 999
5 999 999
5 998 999
5 997 999
4 997 999
4 998 999
4 999 999
4 999 998
4 1000 998
4 1000 999
3 1000 999
3 1000 998
2 1000 998
2 1000 997
2 1000 996
2 999 996
2 999 997
3 999 997
4 999 997
4 999 996
5 999 996
5 998 996
5 998 995
5 999 995
5 1000 995
5 1000 996
5 1001 996
6 1001 996
6 0 996
5 0 996
5 1 996
6 1 996
7 1 996
7 1 995
6 1 995
6 2 995
6 2 996
5 2 996
4 2 996
4 2 997
4 3 997
3 3 997
3 4 997
4 4 997
4 5 997
4 5 996
3 5 996
2 5 996
1 5 996
0 5 996
0 6 996
0 7 996
1 7 996
1 7 995
1 6 995
1 5 995
1 5 994
1 4 994
2 4 994
2 4 993
2 3 993
3 3 993
3 2 993
2 2 993
2 1 993
2 1 994
1 1 994
1 2 994
0 2 994
0 2 993
0 2 992
0 1 992
1 1 992
1 1 991
1 1 990
1 1 989
1 2 989
1 2 990
2 2 990
2 2 989
3 2 989
3 1 989
4 1 989
4 1 990
3 1 990
3 0 990
2 0 990
2 1001 990
3 1001 990
3 1001 991
3 1001 992
3 1000 992
3 1000 991
4 1000 991
5 1000 991
5 1000 992
4 1000 992
4 1001 992
5 1001 992
5 1001 993
6 1001 993
6 0 993
6 1 993
6 1 994
5 1 994
5 0 994
5 0 995
5 1 995
4 1 995
3 1 995
3 2 995
3 3 995
3 4 995
3 4 996
2 4 996
1 4 996
1 3 996
2 3 996
2 3 995
1 3 995
1 4 995
2 4 995
2 5 995
3 5 995
4 5 995
4 6 995
4 6 996
3 6 996
2 6 996
2 6 995
2 7 995
2 7 994
3 7 994
3 7 993
3 8 993
3 9 993
4 9 993
4 9 994
4 10 994
3 10 994
2 10 994
1 10 994
0 10 994
0 10 993
1001 10 993
1001 11 993
1001 11 992
1001 12 992
1001 12 991
1001 12 990
1001 12 989
1001 12 988
1001 11 988
1001 11 987
1001 11 986
1001 12 986
1001 12 985
1000 12 985
1000 13 985
1000 13 984
1000 14 984
1001 14 984
1001 14 985
0 14 985
0 14 986
1 14 986
1 14 987
2 14 987
2 15 987
2 15 986
2 16 986
2 16 985
3 16 985
3 16 984
4 16 984
4 17 984
5 17 984
5 17 985
5 18 985
5 19 985
5 19 986
5 20 986
5 20 987
5 20 988
5 19 988
5 19 987
4 19 987
4 18 987
4 18 988
3 18 988
3 17 988
4 17 988
5 17 988
6 17 988
6 18 988
6 18 989
5 18 989
5 19 989
6 19 989
6 20 989
5 20 989
5 21 989
5 22 989
5 23 989
5 24 989
5 24 988
5 23 988
6 23 988
7 23 988
7 22 988
7 22 989
8 22 989
9 22 989
9 22 988
9 21 988
10 21 988
10 21 989
11 21 989
11 21 990
10 21 990
10 21 991
10 20 991
10 20 990
11 20 990
11 19 990
11 19 991
12 19 991
12 19 990
12 20 990
12 20 989
12 20 988
11 20 988
10 20 988
10 20 989
11 20 989
11 19 989
10 19 989
10 19 988
9 19 988
9 18 988
10 18 988
10 17 988
10 16 988
9 16 988
8 16 988
8 17 988
9 17 988
9 17 987
9 17 986
9 16 986
9 16 985
9 15 985
10 15 985
11 15 985
11 14 985
11 14 986
11 13 986
11 13 987
11 14 987
10 14 987
10 15 987
10 16 987
10 16 986
10 16 985
END POLYMER 0
