START POLYMER 0
0 0 0
0 0 5001
0 5001 5001
0 5001 5000
0 5000 5000
0 5000 5001
1 5000 5001
1 5000 5000
1 5000 4999
1 5000 4998
1 4999 4998
0 4999 4998
0 5000 4998
5001 5000 4998
5000 5000 4998
5000 4999 4998
5000 4999 4997
5001 4999 4997
5001 4999 4996
5001 5000 4996
5001 5000 4997
0 5000 4997
1 5000 4997
1 5000 4996
1 5001 4996
1 5001 4997
1 0 4997
1 1 4997
1 2 4997
2 2 4997
2 3 4997
3 3 4997
3 3 4996
3 4 4996
2 4 4996
2 3 4996
2 2 4996
2 2 4995
2 2 4994
2 3 4994
3 3 4994
3 3 4995
3 4 4995
2 4 4995
2 3 4995
1 3 4995
1 3 4996
1 2 4996
0 2 4996
0 2 4997
5001 2 4997
5000 2 4997
5000 2 4996
5000 2 4995
5001 2 4995
5001 1 4995
5001 0 4995
5000 0 4995
5000 0 4994
5000 5001 4994
5000 5001 4993
4999 5001 4993
4999 5000 4993
4999 4999 4993
4999 4998 4993
4999 4997 4993
5000 4997 4993
5000 4997 4994
5000 4998 4994
5000 4998 4993
5001 4998 4993
5001 4998 4992
0 4998 4992
0 4997 4992
5001 4997 4992
5001 4997 4993
5001 4997 4994
5001 4998 4994
5001 4998 4995
0 4998 4995
0 4999 4995
5001 4999 4995
5001 4999 4994
5000 4999 4994
5000 4999 4993
5000 5000 4993
5001 5000 4993
5001 5001 4993
5001 5001 4992
5001 5000 4992
5001 5000 4991
0 5000 4991
1 5000 4991
1 5001 4991
0 5001 4991
0 0 4991
5001 0 4991
5001 0 4992
0 0 4992
0 1 4992
5001 1 4992
5000 1 4992
5000 2 4992
5000 2 4991
4999 2 4991
4999 3 4991
4999 3 4992
4998 3 4992
4998 3 4991
4998 2 4991
4998 1 4991
4998 1 4990
4998 1 4989
4997 1 4989
4997 0 4989
4997 5001 4989
4997 5000 4989
4996 5000 4989
4996 5001 4989
4996 0 4989
4996 1 4989
4995 1 4989
4995 1 4988
4995 0 4988
4995 0 4989
4995 5001 4989
4995 5000 4989
4995 5000 4988
4995 5001 4988
4995 5001 4987
4995 0 4987
4994 0 4987
4994 5001 4987
4994 5000 4987
4994 5000 4986
4995 5000 4986
4995 5001 4986
4994 5001 4986
4993 5001 4986
4993 0 4986
4993 0 4987
4993 1 4987
4993 1 4988
4993 2 4988
4993 2 4987
4993 2 4986
4994 2 4986
4994 3 4986
4994 3 4987
4994 2 4987
4995 2 4987
4995 3 4987
4995 3 4988
4995 3 4989
4994 3 4989
4994 3 4988
4994 2 4988
4994 1 4988
4994 0 4988
4993 0 4988
4992 0 4988
4992 0 4989
4992 1 4989
4992 1 4988
4992 1 4987
4992 2 4987
4992 3 4987
4992 3 4988
4991 3 4988
4991 2 4988
4991 2 4989
4991 1 4989
4991 1 4990
4991 0 4990
4991 5001 4990
4991 5000 4990
4991 5000 4991
4991 4999 4991
4991 4999 4990
4990 4999 4990
4989 4999 4990
4989 4999 4989
4989 4998 4989
4989 4998 4990
4990 4998 4990
4990 4997 4990
4989 4997 4990
4989 4997 4989
4989 4997 4988
4989 4998 4988
4989 4998 4987
4989 4997 4987
4990 4997 4987
4990 4996 4987
4990 4996 4988
4991 4996 4988
4991 4996 4987
4992 4996 4987
4992 4996 4988
4992 4996 4989
4993 4996 4989
4993 4996 4988
4993 4995 4988
4992 4995 4988
4992 4995 4987
4992 4995 4986
4992 4996 4986
4992 4996 4985
4992 4996 4984
4992 4995 4984
4993 4995 4984
4993 4994 4984
4992 4994 4984
4992 4994 4985
4992 4994 4986
4992 4993 4986
4992 4993 4987
4992 4994 4987
4993 4994 4987
4994 4994 4987
4994 4994 4986
4994 4995 4986
4994 4996 4986
4994 4997 4986
4994 4997 4987
4993 4997 4987
4993 4996 4987
4993 4996 4986
4993 4995 4986
4993 4995 4985
4993 4994 4985
4993 4993 4985
4993 4992 4985
4993 4992 4984
4994 4992 4984
4994 4992 4983
4994 4993 4983
4994 4993 4984
4995 4993 4984
4996 4993 4984
4996 4992 4984
4996 4992 4985
4996 4991 4985
4996 4990 4985
4996 4990 4984
4996 4990 4983
4996 4990 4982
4997 4990 4982
4998 4990 4982
4998 4990 4981
4998 4990 4980
4998 4990 4979
4998 4990 4978
4999 4990 4978
4999 4990 4977
4999 4991 4977
4999 4991 4978
5000 4991 4978
5001 4991 4978
5001 4992 4978
5000 4992 4978
5000 4992 4977
5000 4991 4977
5000 4990 4977
5000 4990 4978
5001 4990 4978
5001 4990 4977
5001 4991 4977
5001 4991 4976
5001 4992 4976
0 4992 4976
1 4992 4976
2 4992 4976
3 4992 4976
3 4992 4977
3 4992 4978
4 4992 4978
5 4992 4978
5 4992 4979
5 4992 4980
4 4992 4980
4 4991 4980
4 4990 4980
3 4990 4980
2 4990 4980
2 4991 4980
3 4991 4980
3 4991 4979
4 4991 4979
4 4990 4979
5 4990 4979
6 4990 4979
6 4990 4978
6 4989 4978
6 4989 4979
7 4989 4979
7 4989 4980
7 4990 4980
7 4990 4981
8 4990 4981
8 4990 4980
8 4991 4980
9 4991 4980
10 4991 4980
10 4992 4980
9 4992 4980
9 4993 4980
10 4993 4980
10 4994 4980
10 4995 4980
10 4995 4979
9 4995 4979
8 4995 4979
7 4995 4979
7 4995 4978
7 4996 4978
7 4997 4978
7 4997 4979
6 4997 4979
6 4997 4980
7 4997 4980
8 4997 4980
8 4996 4980
8 4995 4980
8 4995 4981
8 4995 4982
9 4995 4982
9 4995 4983
9 4996 4983
8 4996 4983
8 4996 4984
8 4997 4984
9 4997 4984
9 4996 4984
9 4996 4985
9 4995 4985
9 4994 4985
10 4994 4985
10 4994 4986
9 4994 4986
8 4994 4986
8 4994 4987
9 4994 4987
9 4993 4987
9 4993 4988
9 4992 4988
8 4992 4988
