START POLYMER 0
0 0 0
1 0 0
1 2501 0
2 2501 0
2 2500 0
2 2500 2501
2 2501 2501
1 2501 2501
1 0 2501
1 1 2501
1 2 2501
2 2 2501
2 2 2500
2 2 2499
2 2 2498
2 2 2497
3 2 2497
3 1 2497
3 1 2496
4 1 2496
4 2 2496
5 2 2496
5 2 2495
4 2 2495
3 2 2495
3 2 2496
2 2 2496
1 2 2496
0 2 2496
0 3 2496
0 3 2495
0 4 2495
1 4 2495
2 4 2495
2 5 2495
2 5 2494
1 5 2494
1 4 2494
1 4 2493
1 3 2493
1 3 2494
2 3 2494
2 3 2495
2 2 2495
1 2 2495
1 2 2494
2 2 2494
2 1 2494
2 0 2494
2 0 2495
2 0 2496
2 2501 2496
3 2501 2496
3 2500 2496
4 2500 2496
4 2501 2496
4 2501 2497
5 2501 2497
5 2501 2496
6 2501 2496
6 0 2496
5 0 2496
5 0 2497
5 1 2497
5 2 2497
4 2 2497
4 2 2498
4 2 2499
3 2 2499
3 2 2498
3 3 2498
3 3 2499
2 3 2499
2 3 2500
1 3 2500
0 3 2500
0 3 2501
2501 3 2501
2501 2 2501
2501 2 2500
0 2 2500
0 1 2500
0 1 2499
0 0 2499
0 2501 2499
2501 2501 2499
2500 2501 2499
2500 2500 2499
2500 2500 2500
2500 2499 2500
2500 2498 2500
2499 2498 2500
2499 2498 2501
2499 2497 2501
2500 2497 2501
2500 2497 2500
2500 2497 2499
2500 2498 2499
2499 2498 2499
2498 2498 2499
2498 2499 2499
2499 2499 2499
2499 2499 2498
2498 2499 2498
2497 2499 2498
2497 2499 2499
2496 2499 2499
2496 2499 2500
2497 2499 2500
2498 2499 2500
2498 2499 2501
2499 2499 2501
2499 2500 2501
2498 2500 2501
2498 2500 2500
2497 2500 2500
2497 2501 2500
2497 0 2500
2496 0 2500
2496 0 2501
2496 1 2501
2496 1 0
2497 1 0
2497 2 0
2497 2 1
2496 2 1
2495 2 1
2495 2 0
2496 2 0
2496 3 0
2496 3 1
2496 4 1
2496 4 0
2496 4 2501
2496 4 2500
2495 4 2500
2495 4 2501
2495 4 0
2494 4 0
2494 4 2501
2493 4 2501
2493 4 2500
2493 3 2500
2493 2 2500
2493 2 2501
2493 3 2501
2492 3 2501
2492 3 0
2492 3 1
2492 2 1
2491 2 1
2491 3 1
2490 3 1
2490 4 1
2489 4 1
2489 4 0
2490 4 0
2490 3 0
2491 3 0
2491 2 0
2492 2 0
2492 2 2501
2492 1 2501
2492 0 2501
2492 0 2500
2491 0 2500
2491 2501 2500
2491 2501 2501
2491 2501 0
2492 2501 0
2492 2500 0
2493 2500 0
2493 2501 0
2493 0 0
2494 0 0
2495 0 0
2496 0 0
2497 0 0
2498 0 0
2498 0 2501
2498 0 2500
2499 0 2500
2499 2501 2500
2498 2501 2500
2498 2501 2499
2498 2501 2498
2498 2501 2497
2498 2501 2496
2498 2500 2496
2498 2500 2495
2497 2500 2495
2497 2500 2496
2497 2500 2497
2497 2500 2498
2497 2500 2499
2497 2501 2499
2497 2501 2498
2497 2501 2497
2497 2501 2496
2497 2501 2495
2497 2501 2494
2497 2501 2493
2498 2501 2493
2498 0 2493
2497 0 2493
2497 0 2492
2498 0 2492
2498 2501 2492
2498 2501 2491
2498 0 2491
2498 1 2491
2497 1 2491
2497 1 2490
2497 2 2490
2497 2 2491
2497 3 2491
2497 4 2491
2498 4 2491
2498 5 2491
2498 6 2491
2498 6 2490
2498 5 2490
2497 5 2490
2497 5 2489
2497 5 2488
2498 5 2488
2498 5 2487
2498 5 2486
2498 6 2486
2498 6 2485
2498 5 2485
2497 5 2485
2497 4 2485
2497 4 2484
2496 4 2484
2495 4 2484
2495 3 2484
2494 3 2484
2494 4 2484
2493 4 2484
2493 4 2483
2494 4 2483
2494 4 2482
2494 4 2481
2494 4 2480
2494 4 2479
2493 4 2479
2493 4 2478
2493 3 2478
2493 2 2478
2493 2 2477
2493 2 2476
2493 2 2475
2493 2 2474
2493 2 2473
2493 1 2473
2493 1 2474
2492 1 2474
2492 0 2474
2492 0 2473
2492 1 2473
2491 1 2473
2491 1 2472
2492 1 2472
2493 1 2472
2493 2 2472
2494 2 2472
2494 2 2471
2494 3 2471
2495 3 2471
2496 3 2471
2497 3 2471
2497 3 2470
2496 3 2470
2496 4 2470
2496 4 2469
2496 5 2469
2495 5 2469
2495 6 2469
2496 6 2469
2496 6 2468
2497 6 2468
2497 6 2469
2497 7 2469
2497 7 2468
2496 7 2468
2496 7 2469
2496 7 2470
2497 7 2470
2498 7 2470
2498 6 2470
2498 5 2470
2499 5 2470
2499 5 2469
2500 5 2469
2500 5 2468
2499 5 2468
2498 5 2468
2497 5 2468
2497 4 2468
2497 4 2467
2497 3 2467
2497 3 2468
2497 2 2468
2497 1 2468
2498 1 2468
2498 0 2468
2498 0 2467
2497 0 2467
2497 2501 2467
2498 2501 2467
2498 2500 2467
2498 2499 2467
2498 2499 2466
2498 2499 2465
2497 2499 2465
2497 2498 2465
2496 2498 2465
2496 2497 2465
2496 2497 2464
2496 2497 2463
2496 2496 2463
2496 2496 2464
2497 2496 2464
2497 2495 2464
2497 2494 2464
2497 2494 2465
2497 2495 2465
2498 2495 2465
2498 2496 2465
2499 2496 2465
2500 2496 2465
2500 2495 2465
2500 2494 2465
2501 2494 2465
2501 2493 2465
2501 2492 2465
2500 2492 2465
2500 2491 2465
2500 2490 2465
2500 2490 2464
2499 2490 2464
2499 2489 2464
2499 2489 2465
2499 2488 2465
2499 2488 2464
2500 2488 2464
2501 2488 2464
2501 2487 2464
2501 2487 2465
2500 2487 2465
2500 2487 2464
2500 2486 2464
2500 2485 2464
2500 2485 2465
2500 2486 2465
2501 2486 2465
2501 2486 2466
0 2486 2466
0 2486 2465
0 2487 2465
0 2487 2466
0 2488 2466
0 2488 2465
0 2488 2464
0 2488 2463
1 2488 2463
1 2489 2463
2 2489 2463
2 2488 2463
2 2488 2462
1 2488 2462
1 2488 2461
1 2487 2461
1 2486 2461
0 2486 2461
2501 2486 2461
2501 2487 2461
0 2487 2461
0 2487 2460
0 2486 2460
1 2486 2460
1 2486 2459
1 2487 2459
1 2487 2458
2 2487 2458
2 2486 2458
2 2486 2459
3 2486 2459
3 2485 2459
3 2485 2458
3 2485 2457
2 2485 2457
2 2484 2457
2 2483 2457
3 2483 2457
3 2484 2457
3 2484 2456
2 2484 2456
1 2484 2456
1 2484 2457
1 2483 2457
1 2483 2458
1 2482 2458
1 2482 2457
1 2481 2457
2 2481 2457
2 2481 2458
3 2481 2458
4 2481 2458
4 2482 2458
4 2483 2458
4 2483 2457
4 2484 2457
4 2484 2458
4 2485 2458
5 2485 2458
5 2486 2458
4 2486 2458
4 2486 2459
5 2486 2459
5 2485 2459
4 2485 2459
4 2484 2459
4 2483 2459
5 2483 2459
5 2483 2460
5 2483 2461
