TE | M_tot | aa | na | an | nn | S_tot | aa | na | an | nn | timestep 
-90 | 9 | 9 | 0 | 0 | 0 | 30 | 30 | 0 | 0 | 0 | 0
-90 | 9 | 9 | 0 | 0 | 0 | 30 | 30 | 0 | 0 | 0 | 1
-90 | 9 | 9 | 0 | 0 | 0 | 30 | 30 | 0 | 0 | 0 | 2
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 3
-90 | 9 | 9 | 0 | 0 | 0 | 30 | 30 | 0 | 0 | 0 | 4
-90 | 9 | 9 | 0 | 0 | 0 | 30 | 30 | 0 | 0 | 0 | 5
-89.2 | 7 | 7 | 0 | 0 | 0 | 34 | 34 | 0 | 0 | 0 | 6
-89.2 | 7 | 7 | 0 | 0 | 0 | 34 | 34 | 0 | 0 | 0 | 7
-89.2 | 7 | 7 | 0 | 0 | 0 | 34 | 34 | 0 | 0 | 0 | 8
-89.2 | 7 | 7 | 0 | 0 | 0 | 34 | 34 | 0 | 0 | 0 | 9
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 10
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 11
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 12
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 13
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 14
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 15
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 16
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 17
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 18
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 19
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 20
