START POLYMER 0
0 0 0
0 0 1
0 1 1
0 2 1
0 2 0
101 2 0
101 2 101
101 2 100
100 2 100
99 2 100
99 1 100
100 1 100
101 1 100
0 1 100
0 1 101
0 0 101
101 0 101
101 1 101
100 1 101
99 1 101
98 1 101
98 1 100
98 0 100
98 0 99
98 0 98
98 1 98
98 2 98
98 2 99
98 2 100
98 3 100
98 3 101
97 3 101
97 4 101
98 4 101
98 5 101
98 5 0
98 4 0
98 4 1
99 4 1
99 5 1
99 6 1
100 6 1
101 6 1
101 6 0
101 7 0
0 7 0
0 8 0
0 9 0
101 9 0
101 9 1
101 8 1
0 8 1
1 8 1
2 8 1
2 7 1
3 7 1
3 7 0
3 6 0
2 6 0
2 7 0
2 8 0
1 8 0
1 9 0
1 9 101
1 9 100
1 8 100
1 7 100
2 7 100
2 7 99
1 7 99
1 6 99
0 6 99
0 6 98
0 7 98
0 8 98
0 8 97
0 7 97
0 7 96
0 7 95
101 7 95
101 7 94
100 7 94
100 7 93
101 7 93
101 7 92
101 8 92
0 8 92
0 9 92
0 9 93
0 10 93
0 10 94
0 10 95
0 9 95
1 9 95
1 9 96
0 9 96
0 10 96
0 10 97
101 10 97
101 11 97
END POLYMER 0
