START POLYMER 0
0 0 0
0 0 1
1 0 1
1 1 1
2 1 1
2 1 0
3 1 0
3 1 1
3 2 1
3 2 0
2 2 0
1 2 0
1 1 0
1 0 0
1 101 0
0 101 0
101 101 0
100 101 0
100 101 101
100 0 101
100 0 100
101 0 100
0 0 100
0 0 101
0 1 101
1 1 101
1 0 101
1 101 101
0 101 101
0 100 101
0 100 100
0 99 100
0 99 101
0 99 0
0 100 0
1 100 0
1 100 101
1 99 101
1 98 101
2 98 101
3 98 101
3 99 101
3 100 101
2 100 101
2 100 0
2 99 0
2 99 1
2 99 2
3 99 2
3 99 3
3 98 3
3 98 4
3 99 4
3 99 5
4 99 5
4 99 6
5 99 6
5 99 7
4 99 7
4 99 8
4 98 8
4 98 9
4 99 9
3 99 9
2 99 9
2 99 10
3 99 10
3 98 10
2 98 10
2 98 9
2 98 8
1 98 8
1 99 8
1 99 7
2 99 7
2 100 7
2 100 8
3 100 8
3 99 8
3 99 7
3 98 7
3 98 6
4 98 6
4 98 7
4 97 7
4 97 8
4 96 8
5 96 8
6 96 8
6 96 9
6 96 10
6 95 10
6 94 10
6 94 11
6 94 12
7 94 12
7 94 13
7 93 13
7 92 13
6 92 13
END POLYMER 0
