This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-9 | 0
-9 | 15
-7 | 29
-8 | 41
-8 | 42
-8 | 43
-7 | 57
-7 | 69
-8 | 83
-8 | 97
-7 | 107
-7 | 117
-7 | 127
-7 | 137
-10 | 147
-9 | 164
-7 | 179
-7 | 189
-8 | 199
-8 | 200
-8 | 201
-8 | 202
-8 | 203
-10 | 219
-10 | 237
-8 | 247
-9 | 263
-7 | 278
-7 | 288
-7 | 298
-7 | 308
-10 | 320
-8 | 330
-10 | 343
-10 | 344
-9 | 358
-8 | 368
-8 | 381
-7 | 391
-7 | 402
-7 | 415
-10 | 427
-7 | 437
-7 | 448
-9 | 460
-9 | 461
-8 | 475
-9 | 485
-7 | 495
-7 | 506
-9 | 521
-9 | 522
-9 | 533
-8 | 546
-9 | 560
-7 | 571
-7 | 584
-7 | 595
-7 | 606
-7 | 616
-8 | 626
-7 | 637
-7 | 649
-7 | 659
-8 | 669
-10 | 683
-10 | 694
-7 | 704
-7 | 714
-7 | 725
-7 | 735
-7 | 746
-9 | 757
-7 | 768
-8 | 780
-8 | 781
-9 | 791
-9 | 792
-9 | 805
-9 | 806
-8 | 818
-8 | 819
-8 | 831
-9 | 841
-9 | 842
-9 | 843
-8 | 853
-8 | 854
-9 | 869
-9 | 870
-8 | 883
-8 | 884
-10 | 894
-10 | 895
-7 | 905
-7 | 915
-7 | 925
-7 | 935
-7 | 947
-10 | 958
-9 | 969
-7 | 979
-8 | 990
-9 | 1000
-10 | 1014
-10 | 1015
-8 | 1027
-8 | 1038
-8 | 1050
-9 | 1060
-7 | 1073
-7 | 1084
-7 | 1094
-8 | 1104
-9 | 1119
-9 | 1120
-9 | 1121
-9 | 1132
-7 | 1147
-8 | 1157
-8 | 1158
-9 | 1172
-10 | 1188
-7 | 1198
-7 | 1208
-7 | 1218
-7 | 1228
-7 | 1240
-8 | 1251
-8 | 1263
-8 | 1273
-7 | 1283
-7 | 1293
-10 | 1304
-10 | 1316
-10 | 1317
-7 | 1331
-9 | 1344
-8 | 1364
-7 | 1374
-9 | 1384
-8 | 1394
-8 | 1395
-8 | 1396
-7 | 1410
-7 | 1421
-7 | 1431
-7 | 1441
-7 | 1451
-7 | 1461
-7 | 1471
-7 | 1482
-8 | 1493
-7 | 1503
-7 | 1518
-8 | 1528
-10 | 1538
-10 | 1539
-10 | 1540
-10 | 1557
-8 | 1568
-7 | 1578
-8 | 1592
-8 | 1602
-7 | 1613
-9 | 1625
-7 | 1636
-7 | 1646
-9 | 1656
-9 | 1657
-9 | 1668
-7 | 1678
-7 | 1688
-7 | 1698
-8 | 1708
-8 | 1718
-10 | 1728
-10 | 1729
-7 | 1739
-7 | 1749
-8 | 1759
-7 | 1769
-7 | 1779
-8 | 1789
-9 | 1800
-9 | 1811
-9 | 1812
-8 | 1822
-7 | 1837
-7 | 1847
-7 | 1857
-7 | 1867
-7 | 1877
-7 | 1887
-8 | 1898
-9 | 1909
-8 | 1920
-8 | 1934
-8 | 1935
-9 | 1946
-8 | 1958
-9 | 1972
-7 | 1982
-8 | 1995
-7 | 2006
-7 | 2016
-7 | 2026
-9 | 2036
-9 | 2037
-9 | 2038
-9 | 2049
-9 | 2050
-9 | 2051
-10 | 2062
-10 | 2063
-8 | 2073
-10 | 2086
-10 | 2087
-7 | 2098
-7 | 2108
-7 | 2118
-7 | 2129
-9 | 2141
-8 | 2151
-8 | 2161
-8 | 2171
