E_mm_a,E_mm_n_left,E_mm_n_right
-1.99,-1.99,2.5
-1.989,-1.99,2.5
-1.9880000000000002,-1.99,2.5
-1.9870000000000003,-1.99,2.5
-1.9860000000000004,-1.99,2.5
-1.9850000000000005,-1.99,2.5
-1.9840000000000007,-1.99,2.5
-1.9830000000000008,-1.99,2.5
-1.9820000000000009,-1.99,2.5
-1.981000000000001,-1.99,2.5
-1.980000000000001,-1.99,2.5
-1.9790000000000012,-1.99,2.5
-1.9780000000000013,-1.99,2.5
-1.9770000000000014,-1.99,2.5
-1.9760000000000015,-1.99,2.5
-1.9750000000000016,-1.99,2.5
-1.9740000000000018,-1.99,2.5
-1.9730000000000019,-1.99,2.5
-1.972000000000002,-1.99,2.5
-1.971000000000002,-1.99,2.5
-1.9700000000000022,-1.99,2.5
-1.9690000000000023,-1.99,2.5
-1.9680000000000024,-1.99,2.5
-1.9670000000000025,-1.99,2.5
-1.9660000000000026,-1.99,2.5
-1.9650000000000027,-1.99,2.5
-1.9640000000000029,-1.99,2.5
-1.963000000000003,-1.99,2.5
-1.962000000000003,-1.99,2.5
-1.9610000000000032,-1.99,2.5
-1.9600000000000033,-1.99,2.5
-1.9590000000000034,-1.99,2.5
-1.9580000000000035,-1.99,2.5
-1.9570000000000036,-1.99,2.5
-1.9560000000000037,-1.99,2.5
-1.9550000000000038,-1.99,2.5
-1.954000000000004,-1.99,2.5
-1.953000000000004,-1.99,2.5
-1.9520000000000042,-1.99,2.5
-1.9510000000000043,-1.99,2.5
-1.9500000000000044,-1.99,2.5
-1.9490000000000045,-1.99,2.5
-1.9480000000000046,-1.99,2.5
-1.9470000000000047,-1.99,2.5
-1.9460000000000048,-1.99,2.5
-1.945000000000005,-1.99,2.5
-1.944000000000005,-1.99,2.5
-1.9430000000000052,-1.99,2.5
-1.9420000000000053,-1.99,2.5
-1.9410000000000054,-1.99,2.5
-1.9400000000000055,-1.99,2.5
-1.9390000000000056,-1.99,2.5
-1.9380000000000057,-1.99,2.5
-1.9370000000000058,-1.99,2.5
-1.936000000000006,-1.99,2.5
-1.935000000000006,-1.99,2.5
-1.9340000000000062,-1.99,2.5
-1.9330000000000063,-1.99,2.5
-1.9320000000000064,-1.99,2.5
-1.9310000000000065,-1.99,2.5
-1.9300000000000066,-1.99,2.5
-1.9290000000000067,-1.99,2.5
-1.9280000000000068,-1.99,2.5
-1.927000000000007,-1.99,2.5
-1.926000000000007,-1.99,2.5
-1.9250000000000071,-1.99,2.5
-1.9240000000000073,-1.99,2.5
-1.9230000000000074,-1.99,2.5
-1.9220000000000075,-1.99,2.5
-1.9210000000000076,-1.99,2.5
-1.9200000000000077,-1.99,2.5
-1.9190000000000078,-1.99,2.5
-1.918000000000008,-1.99,2.5
-1.917000000000008,-1.99,2.5
-1.9160000000000081,-1.99,2.5
-1.9150000000000083,-1.99,2.5
-1.9140000000000084,-1.99,2.5
-1.9130000000000085,-1.99,2.5
-1.9120000000000086,-1.99,2.5
-1.9110000000000087,-1.99,2.5
-1.9100000000000088,-1.99,2.5
-1.909000000000009,-1.99,2.5
-1.908000000000009,-1.99,2.5
-1.9070000000000091,-1.99,2.5
-1.9060000000000092,-1.99,2.5
-1.9050000000000094,-1.99,2.5
-1.9040000000000095,-1.99,2.5
-1.9030000000000096,-1.99,2.5
-1.9020000000000097,-1.99,2.5
-1.9010000000000098,-1.99,2.5
-1.90000000000001,-1.99,2.5
-1.89900000000001,-1.99,2.5
-1.8980000000000101,-1.99,2.5
-1.8970000000000102,-1.99,2.5
-1.8960000000000103,-1.99,2.5
-1.8950000000000105,-1.99,2.5
-1.8940000000000106,-1.99,2.5
-1.8930000000000107,-1.99,2.5
-1.8920000000000108,-1.99,2.5
-1.891000000000011,-1.99,2.5
-1.890000000000011,-1.99,2.5
-1.8890000000000111,-1.99,2.5
-1.8880000000000112,-1.99,2.5
-1.8870000000000113,-1.99,2.5
-1.8860000000000114,-1.99,2.5
-1.8850000000000116,-1.99,2.5
-1.8840000000000117,-1.99,2.5
-1.8830000000000118,-1.99,2.5
-1.8820000000000119,-1.99,2.5
-1.881000000000012,-1.99,2.5
-1.880000000000012,-1.99,2.5
-1.8790000000000122,-1.99,2.5
-1.8780000000000123,-1.99,2.5
-1.8770000000000124,-1.99,2.5
-1.8760000000000125,-1.99,2.5
-1.8750000000000127,-1.99,2.5
-1.8740000000000128,-1.99,2.5
-1.8730000000000129,-1.99,2.5
-1.872000000000013,-1.99,2.5
-1.871000000000013,-1.99,2.5
-1.8700000000000132,-1.99,2.5
-1.8690000000000133,-1.99,2.5
-1.8680000000000134,-1.99,2.5
-1.8670000000000135,-1.99,2.5
-1.8660000000000136,-1.99,2.5
-1.8650000000000138,-1.99,2.5
-1.8640000000000139,-1.99,2.5
-1.863000000000014,-1.99,2.5
-1.862000000000014,-1.99,2.5
-1.8610000000000142,-1.99,2.5
-1.8600000000000143,-1.99,2.5
-1.8590000000000144,-1.99,2.5
-1.8580000000000145,-1.99,2.5
-1.8570000000000146,-1.99,2.5
-1.8560000000000147,-1.99,2.5
