E_mm_a,E_mm_n_left,E_mm_n_right
-1.8640000000000139e+00,-1.0790000000001003,-1.0690000000001014
-1.863000000000014,-1.1050000000000975,-1.0310000000001056
-1.862000000000014,-1.1160000000000962,-1.009000000000108
-1.8610000000000142,-1.1230000000000955,-0.9920000000001099
-1.8600000000000143,-1.1290000000000948,-0.9770000000001116
-1.8590000000000144,-1.1330000000000944,-0.9630000000001131
-1.8580000000000145,-1.137000000000094,-0.9490000000001146
-1.8570000000000146,-1.1390000000000937,-0.9360000000001161
-1.8560000000000147,-1.1420000000000934,-0.9230000000001175
-1.8550000000000149,-1.1440000000000932,-0.9100000000001189
-1.854000000000015,-1.145000000000093,-0.8970000000001204
-1.853000000000015,-1.1470000000000928,-0.8850000000001217
-1.8520000000000152,-1.1480000000000927,-0.873000000000123
-1.8510000000000153,-1.1490000000000926,-0.8610000000001243
-1.8500000000000154,-1.1500000000000925,-0.8500000000001255
-1.8490000000000155,-1.1510000000000924,-0.8390000000001268
-1.8480000000000156,-1.1520000000000923,-0.828000000000128
-1.8470000000000157,-1.1530000000000922,-0.8170000000001292
-1.8460000000000159,-1.154000000000092,-0.8060000000001304
-1.845000000000016,-1.155000000000092,-0.7950000000001316
-1.844000000000016,-1.1560000000000918,-0.7840000000001328
-1.8430000000000162,-1.1570000000000917,-0.773000000000134
-1.8420000000000163,-1.1580000000000916,-0.7620000000001352
-1.8410000000000164,-1.1590000000000915,-0.7500000000001366
-1.8400000000000165,-1.1600000000000914,-0.7390000000001378
-1.8390000000000166,-1.1610000000000913,-0.728000000000139
-1.8380000000000167,-1.1620000000000912,-0.7170000000001402
-1.8370000000000168,-1.163000000000091,-0.7060000000001414
-1.836000000000017,-1.164000000000091,-0.6950000000001426
-1.835000000000017,-1.1650000000000909,-0.6840000000001438
-1.8340000000000172,-1.1660000000000907,-0.673000000000145
-1.8330000000000173,-1.1670000000000906,-0.6620000000001462
-1.8320000000000174,-1.1680000000000905,-0.6510000000001475
-1.8310000000000175,-1.1690000000000904,-0.6400000000001487
-1.8300000000000176,-1.1700000000000903,-0.62800000000015
-1.8290000000000177,-1.1710000000000902,-0.6170000000001512
-1.8280000000000178,-1.17200000000009,-0.6060000000001524
-1.827000000000018,-1.17300000000009,-0.5940000000001537
-1.826000000000018,-1.1740000000000899,-0.583000000000155
-1.8250000000000182,-1.1750000000000898,-0.5710000000001563
-1.8240000000000183,-1.1760000000000896,-0.5600000000001575
-1.8230000000000184,-1.1770000000000895,-0.5480000000001588
-1.8220000000000185,-1.1780000000000894,-0.5360000000001601
-1.8210000000000186,-1.1790000000000893,-0.5250000000001613
-1.8200000000000187,-1.1800000000000892,-0.5130000000001627
-1.8190000000000188,-1.181000000000089,-0.501000000000164
-1.818000000000019,-1.182000000000089,-0.4890000000001653
-1.817000000000019,-1.1830000000000889,-0.4780000000001665
-1.8160000000000192,-1.1840000000000888,-0.4670000000001677
-1.8150000000000193,-1.1850000000000886,-0.45500000000016905
-1.8140000000000194,-1.1860000000000885,-0.44400000000017026
-1.8130000000000195,-1.1870000000000884,-0.4320000000001716
-1.8120000000000196,-1.1880000000000883,-0.4210000000001728
-1.8110000000000197,-1.1890000000000882,-0.4090000000001741
-1.8100000000000198,-1.190000000000088,-0.39700000000017543
-1.80900000000002,-1.191000000000088,-0.38500000000017676
-1.80800000000002,-1.1920000000000879,-0.3730000000001781
-1.8070000000000201,-1.1930000000000878,-0.3620000000001793
-1.8060000000000203,-1.1940000000000877,-0.3500000000001806
-1.8050000000000204,-1.1950000000000875,-0.33700000000018204
-1.8040000000000205,-1.1960000000000874,-0.32500000000018336
-1.8030000000000206,-1.1970000000000873,-0.3130000000001847
-1.8020000000000207,-1.1980000000000872,-0.301000000000186
-1.8010000000000208,-1.199000000000087,-0.28800000000018744
-1.800000000000021,-1.200000000000087,-0.27500000000018887
-1.799000000000021,-1.2010000000000869,-0.2630000000001902
-1.7980000000000211,-1.2020000000000868,-0.2500000000001916
-1.7970000000000212,-1.2030000000000867,-0.23700000000019306
-1.7960000000000214,-1.2040000000000866,-0.2240000000001945
-1.7950000000000215,-1.2050000000000864,-0.21100000000019592
-1.7940000000000216,-1.2060000000000863,-0.19800000000019735
-1.7930000000000217,-1.2070000000000862,-0.1840000000001989
-1.7920000000000218,-1.2080000000000861,-0.17100000000020033
-1.791000000000022,-1.209000000000086,-0.15700000000020187
-1.790000000000022,-1.210000000000086,-0.1430000000002034
-1.7890000000000221,-1.2110000000000858,-0.12900000000020495
-1.7880000000000222,-1.2120000000000857,-0.11500000000020649
-1.7870000000000223,-1.2130000000000856,-0.10100000000020803
-1.7860000000000225,-1.2140000000000855,-0.08600000000020969
-1.7850000000000226,-1.2150000000000853,-0.07100000000021134
-1.7840000000000227,-1.2160000000000852,-0.05600000000021299
-1.7830000000000228,-1.2170000000000851,-0.04100000000021464
-1.782000000000023,-1.218000000000085,-0.028000000000216074
-1.781000000000023,-1.219000000000085,-0.014000000000217616
-1.7800000000000231,-1.2200000000000848,-0.0010000000002190479
-1.7790000000000232,-1.2210000000000847,0.01299999999977941
-1.7780000000000233,-1.2220000000000846,0.02699999999977787
-1.7770000000000234,-1.2230000000000845,0.040999999999776326
-1.7760000000000236,-1.2240000000000844,0.054999999999774785
-1.7750000000000237,-1.2250000000000842,0.06899999999977324
-1.7740000000000238,-1.227000000000084,0.08399999999977159
-1.773000000000024,-1.228000000000084,0.09799999999977005
-1.772000000000024,-1.2290000000000838,0.1129999999997684
-1.771000000000024,-1.2300000000000837,0.12799999999976674
-1.7700000000000242,-1.2310000000000836,0.1429999999997651
-1.7690000000000243,-1.2320000000000835,0.15899999999976333
-1.7680000000000244,-1.2330000000000834,0.17399999999976168
-1.7670000000000246,-1.2340000000000833,0.18999999999975992
-1.7660000000000247,-1.2350000000000831,0.20599999999975815
-1.7650000000000248,-1.236000000000083,0.2219999999997564
-1.7640000000000249,-1.237000000000083,0.23899999999975452
-1.763000000000025,-1.2380000000000828,0.25499999999975276
-1.762000000000025,-1.2390000000000827,0.2719999999997509
-1.7610000000000252,-1.2400000000000826,0.2899999999997489
-1.7600000000000253,-1.2410000000000825,0.30699999999974703
-1.7590000000000254,-1.2420000000000824,0.32499999999974505
-1.7580000000000255,-1.2430000000000823,0.34299999999974307
-1.7570000000000257,-1.2440000000000822,0.3609999999997411
-1.7560000000000258,-1.245000000000082,0.379999999999739
-1.7550000000000259,-1.246000000000082,0.3969999999997371
-1.754000000000026,-1.2470000000000818,0.41299999999973536
-1.753000000000026,-1.2480000000000817,0.4289999999997336
-1.7520000000000262,-1.2490000000000816,0.4459999999997317
-1.7510000000000263,-1.2500000000000815,0.46199999999972996
-1.7500000000000264,-1.2510000000000814,0.4789999999997281
-1.7490000000000265,-1.2520000000000813,0.4959999999997262
-1.7480000000000266,-1.2530000000000812,0.5139999999997242
-1.7470000000000268,-1.254000000000081,0.5319999999997223
-1.7460000000000269,-1.255000000000081,0.5489999999997204
-1.745000000000027,-1.2560000000000808,0.5679999999997183
-1.744000000000027,-1.2570000000000807,0.5859999999997163
-1.7430000000000272,-1.2580000000000806,0.6049999999997142
-1.7420000000000273,-1.2590000000000805,0.6239999999997121
-1.7410000000000274,-1.2600000000000804,0.6439999999997099
-1.7400000000000275,-1.2610000000000803,0.6639999999997077
-1.7390000000000276,-1.2620000000000802,0.6839999999997055
-1.7380000000000277,-1.26300000000008,0.7049999999997032
-1.7370000000000279,-1.26400000000008,0.7259999999997009
-1.736000000000028,-1.2650000000000798,0.7479999999996985
-1.735000000000028,-1.2660000000000797,0.769999999999696
-1.7340000000000282,-1.2670000000000796,0.7919999999996936
-1.7330000000000283,-1.2680000000000795,0.8149999999996911
-1.7320000000000284,-1.2690000000000794,0.8379999999996885
-1.7310000000000285,-1.2700000000000793,0.8569999999996865
-1.7300000000000286,-1.2710000000000792,0.8759999999996844
-1.7290000000000287,-1.272000000000079,0.8959999999996822
-1.7280000000000288,-1.273000000000079,0.91599999999968
-1.727000000000029,-1.2740000000000788,0.9369999999996776
-1.726000000000029,-1.2750000000000787,0.9569999999996754
-1.7250000000000292,-1.2760000000000786,0.978999999999673
-1.7240000000000293,-1.2770000000000785,0.9999999999996707
-1.7230000000000294,-1.2780000000000784,1.0219999999996683
-1.7220000000000295,-1.2790000000000783,1.0439999999996659
-1.7210000000000296,-1.2800000000000782,1.0669999999996633
-1.7200000000000297,-1.281000000000078,1.0909999999996607
-1.7190000000000298,-1.282000000000078,1.114999999999658
-1.71800000000003,-1.2830000000000779,1.1389999999996554
-1.71700000000003,-1.2840000000000777,1.1639999999996526
-1.7160000000000302,-1.2850000000000776,1.1899999999996498
-1.7150000000000303,-1.2860000000000775,1.215999999999647
-1.7140000000000304,-1.2870000000000774,1.242999999999644
-1.7130000000000305,-1.2880000000000773,1.2709999999996409
-1.7120000000000306,-1.2890000000000772,1.2989999999996378
-1.7110000000000307,-1.290000000000077,1.3279999999996346
-1.7100000000000308,-1.291000000000077,1.350999999999632
-1.709000000000031,-1.2920000000000769,1.3739999999996295
-1.708000000000031,-1.2930000000000768,1.3979999999996269
-1.7070000000000312,-1.2940000000000766,1.4229999999996241
-1.7060000000000313,-1.2950000000000765,1.4469999999996215
-1.7050000000000314,-1.2960000000000764,1.4729999999996186
-1.7040000000000315,-1.2970000000000763,1.4989999999996158
-1.7030000000000316,-1.2980000000000762,1.5249999999996129
-1.7020000000000317,-1.299000000000076,1.55199999999961
-1.7010000000000318,-1.300000000000076,1.5799999999996068
