This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-12 | 0
-8 | 50
-7 | 100
-7 | 150
-8 | 200
-7 | 250
-8 | 300
-10 | 350
-7 | 400
-9 | 450
-10 | 500
-7 | 550
-9 | 600
-7 | 650
-8 | 700
-10 | 750
-7 | 800
-9 | 850
-7 | 900
-9 | 950
-7 | 1000
-8 | 1050
-9 | 1100
-10 | 1150
-8 | 1200
-8 | 1250
-8 | 1300
-10 | 1350
-12 | 1400
-10 | 1450
-8 | 1500
-8 | 1550
-10 | 1600
-8 | 1650
-7 | 1700
-8 | 1750
-9 | 1800
-7 | 1850
-10 | 1900
-10 | 1950
-8 | 2000
-9 | 2050
-9 | 2100
-8 | 2150
-10 | 2200
-7 | 2250
-10 | 2300
-9 | 2350
-9 | 2400
-9 | 2450
-8 | 2500
-8 | 2550
-8 | 2600
-8 | 2650
-9 | 2700
-7 | 2750
-7 | 2800
-8 | 2850
-10 | 2900
-10 | 2950
-9 | 3000
-10 | 3050
-8 | 3100
-10 | 3150
-7 | 3200
-10 | 3250
-10 | 3300
-12 | 3350
-10 | 3400
-8 | 3450
-10 | 3500
-9 | 3550
-12 | 3600
-10 | 3650
-9 | 3700
-9 | 3750
-8 | 3800
-7 | 3850
-9 | 3900
-9 | 3950
-10 | 4000
-9 | 4050
-12 | 4100
-7 | 4150
-12 | 4200
-10 | 4250
-10 | 4300
-12 | 4350
-12 | 4400
-8 | 4450
-10 | 4500
-10 | 4550
-10 | 4600
-12 | 4650
-12 | 4700
-9 | 4750
-10 | 4800
-12 | 4850
-12 | 4900
-9 | 4950
-8 | 5000
-9 | 5050
-10 | 5100
-9 | 5150
-12 | 5200
-10 | 5250
-10 | 5300
-9 | 5350
-7 | 5400
-8 | 5450
-10 | 5500
-9 | 5550
-8 | 5600
-9 | 5650
-8 | 5700
-7 | 5750
-10 | 5800
-9 | 5850
-12 | 5900
-9 | 5950
-9 | 6000
-9 | 6050
-7 | 6100
-10 | 6150
-8 | 6200
-9 | 6250
-10 | 6300
-12 | 6350
-8 | 6400
-12 | 6450
-12 | 6500
-9 | 6550
-8 | 6600
-7 | 6650
-8 | 6700
-8 | 6750
-7 | 6800
-8 | 6850
-8 | 6900
-7 | 6950
-10 | 7000
-7 | 7050
-9 | 7100
-8 | 7150
-7 | 7200
-8 | 7250
-8 | 7300
-9 | 7350
-10 | 7400
-10 | 7450
-9 | 7500
-8 | 7550
-8 | 7600
-10 | 7650
-9 | 7700
-12 | 7750
-10 | 7800
-10 | 7850
-9 | 7900
-8 | 7950
-9 | 8000
-10 | 8050
-8 | 8100
-8 | 8150
-9 | 8200
-12 | 8250
-10 | 8300
-8 | 8350
-9 | 8400
-10 | 8450
-8 | 8500
-9 | 8550
-9 | 8600
-7 | 8650
-7 | 8700
-10 | 8750
-9 | 8800
-8 | 8850
-9 | 8900
-8 | 8950
-10 | 9000
-9 | 9050
-9 | 9100
-8 | 9150
-7 | 9200
-8 | 9250
-9 | 9300
-8 | 9350
-10 | 9400
-7 | 9450
-9 | 9500
-9 | 9550
-9 | 9600
-12 | 9650
-7 | 9700
-12 | 9750
-8 | 9800
-8 | 9850
-7 | 9900
-10 | 9950
-9 | 10000
-12 | 10050
-10 | 10100
-9 | 10150
-7 | 10200
-8 | 10250
-12 | 10300
-10 | 10350
-9 | 10400
-8 | 10450
-10 | 10500
-9 | 10550
-10 | 10600
-10 | 10650
-10 | 10700
-9 | 10750
-9 | 10800
-8 | 10850
-9 | 10900
-8 | 10950
-7 | 11000
-10 | 11050
-8 | 11100
-7 | 11150
-9 | 11200
-9 | 11250
-7 | 11300
-9 | 11350
-9 | 11400
-10 | 11450
-7 | 11500
-10 | 11550
-9 | 11600
-8 | 11650
-10 | 11700
-7 | 11750
-9 | 11800
-8 | 11850
-10 | 11900
-10 | 11950
-9 | 12000
-8 | 12050
-9 | 12100
-8 | 12150
-10 | 12200
-8 | 12250
-10 | 12300
-10 | 12350
-10 | 12400
-10 | 12450
-8 | 12500
-9 | 12550
-8 | 12600
-10 | 12650
-9 | 12700
-9 | 12750
-7 | 12800
-12 | 12850
-7 | 12900
-12 | 12950
-10 | 13000
-10 | 13050
-9 | 13100
-10 | 13150
-8 | 13200
-9 | 13250
-12 | 13300
-9 | 13350
-9 | 13400
-10 | 13450
-10 | 13500
-12 | 13550
-7 | 13600
-10 | 13650
-9 | 13700
-9 | 13750
-8 | 13800
-8 | 13850
-10 | 13900
-12 | 13950
-7 | 14000
-9 | 14050
-8 | 14100
-9 | 14150
-7 | 14200
-10 | 14250
-7 | 14300
-9 | 14350
-9 | 14400
-7 | 14450
-7 | 14500
-12 | 14550
-10 | 14600
-10 | 14650
-9 | 14700
-9 | 14750
-10 | 14800
-9 | 14850
-9 | 14900
-9 | 14950
-10 | 15000
-9 | 15050
-9 | 15100
-9 | 15150
-8 | 15200
-8 | 15250
-9 | 15300
-9 | 15350
-8 | 15400
-9 | 15450
-8 | 15500
-8 | 15550
-7 | 15600
-8 | 15650
-12 | 15700
-9 | 15750
-10 | 15800
-8 | 15850
-9 | 15900
-12 | 15950
-9 | 16000
-10 | 16050
-9 | 16100
-8 | 16150
-8 | 16200
-7 | 16250
-10 | 16300
-10 | 16350
-9 | 16400
-9 | 16450
-8 | 16500
-7 | 16550
-7 | 16600
-8 | 16650
-8 | 16700
-10 | 16750
-8 | 16800
-9 | 16850
-9 | 16900
-9 | 16950
-7 | 17000
-10 | 17050
-8 | 17100
-9 | 17150
-8 | 17200
-8 | 17250
-10 | 17300
-9 | 17350
-8 | 17400
-7 | 17450
-8 | 17500
-8 | 17550
-12 | 17600
-9 | 17650
-7 | 17700
-12 | 17750
-10 | 17800
-8 | 17850
-7 | 17900
-8 | 17950
-9 | 18000
-9 | 18050
-7 | 18100
-9 | 18150
-8 | 18200
-7 | 18250
-9 | 18300
-10 | 18350
-9 | 18400
-7 | 18450
-10 | 18500
-8 | 18550
-8 | 18600
-10 | 18650
-7 | 18700
-9 | 18750
-9 | 18800
-9 | 18850
-8 | 18900
-9 | 18950
-9 | 19000
-9 | 19050
-9 | 19100
-9 | 19150
-10 | 19200
-12 | 19250
-8 | 19300
-10 | 19350
-9 | 19400
-12 | 19450
-8 | 19500
-9 | 19550
-8 | 19600
-9 | 19650
-9 | 19700
-9 | 19750
-10 | 19800
-10 | 19850
-10 | 19900
-9 | 19950
-9 | 20000
-8 | 20050
-12 | 20100
-10 | 20150
-10 | 20200
-10 | 20250
-10 | 20300
-9 | 20350
-10 | 20400
-10 | 20450
-8 | 20500
-9 | 20550
-10 | 20600
-12 | 20650
-10 | 20700
-9 | 20750
-8 | 20800
-9 | 20850
-8 | 20900
-9 | 20950
-7 | 21000
-9 | 21050
-8 | 21100
-9 | 21150
-12 | 21200
-8 | 21250
-10 | 21300
-8 | 21350
-12 | 21400
-9 | 21450
-10 | 21500
-9 | 21550
-9 | 21600
-9 | 21650
-9 | 21700
-8 | 21750
-7 | 21800
-7 | 21850
-8 | 21900
-9 | 21950
-10 | 22000
-8 | 22050
-7 | 22100
-10 | 22150
-7 | 22200
-10 | 22250
-12 | 22300
-10 | 22350
-9 | 22400
-8 | 22450
-10 | 22500
-9 | 22550
-8 | 22600
-7 | 22650
-10 | 22700
-8 | 22750
-9 | 22800
-10 | 22850
-10 | 22900
-9 | 22950
-7 | 23000
-10 | 23050
-9 | 23100
-9 | 23150
-9 | 23200
-10 | 23250
-8 | 23300
-7 | 23350
-8 | 23400
-7 | 23450
-7 | 23500
-7 | 23550
-8 | 23600
-9 | 23650
-8 | 23700
-7 | 23750
-9 | 23800
-9 | 23850
-9 | 23900
-7 | 23950
-8 | 24000
-10 | 24050
-12 | 24100
-8 | 24150
-10 | 24200
-7 | 24250
-7 | 24300
-9 | 24350
-12 | 24400
-7 | 24450
-7 | 24500
-10 | 24550
-8 | 24600
-7 | 24650
-9 | 24700
-10 | 24750
-9 | 24800
-7 | 24850
-12 | 24900
-8 | 24950
-10 | 25000
-7 | 25050
-10 | 25100
-9 | 25150
-8 | 25200
-10 | 25250
-7 | 25300
-7 | 25350
-10 | 25400
-10 | 25450
-9 | 25500
-10 | 25550
-9 | 25600
-12 | 25650
-10 | 25700
-10 | 25750
-9 | 25800
-10 | 25850
-9 | 25900
-10 | 25950
-9 | 26000
-7 | 26050
-9 | 26100
-9 | 26150
-10 | 26200
-9 | 26250
-9 | 26300
-10 | 26350
-7 | 26400
-9 | 26450
-10 | 26500
-9 | 26550
-12 | 26600
-12 | 26650
-10 | 26700
-8 | 26750
-8 | 26800
-7 | 26850
-10 | 26900
-7 | 26950
-12 | 27000
-10 | 27050
-8 | 27100
-8 | 27150
-8 | 27200
-9 | 27250
-10 | 27300
-12 | 27350
-9 | 27400
-10 | 27450
-10 | 27500
-9 | 27550
-8 | 27600
-10 | 27650
-10 | 27700
-10 | 27750
-9 | 27800
-10 | 27850
-10 | 27900
-9 | 27950
-10 | 28000
-9 | 28050
-12 | 28100
-9 | 28150
-9 | 28200
-8 | 28250
-7 | 28300
-8 | 28350
-10 | 28400
-10 | 28450
-7 | 28500
-10 | 28550
-10 | 28600
-9 | 28650
-10 | 28700
-9 | 28750
-10 | 28800
-10 | 28850
-7 | 28900
-8 | 28950
-10 | 29000
-12 | 29050
-8 | 29100
-8 | 29150
-10 | 29200
-9 | 29250
-10 | 29300
-9 | 29350
-9 | 29400
-10 | 29450
-7 | 29500
-10 | 29550
-10 | 29600
-8 | 29650
-10 | 29700
-10 | 29750
-10 | 29800
-8 | 29850
-7 | 29900
-10 | 29950
-12 | 30000
