This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-60 | 0
-72 | 50
-75 | 100
-75 | 150
-75 | 200
-75 | 250
-75 | 300
-75 | 350
-75 | 400
-75 | 450
-75 | 500
-75 | 550
-75 | 600
-75 | 650
-75 | 700
-75 | 750
-75 | 800
-75 | 850
-75 | 900
-72 | 950
-75 | 1000
-75 | 1050
-75 | 1100
-75 | 1150
-75 | 1200
-75 | 1250
-75 | 1300
-75 | 1350
-75 | 1400
-75 | 1450
-75 | 1500
-75 | 1550
-75 | 1600
-75 | 1650
-75 | 1700
-75 | 1750
-75 | 1800
-75 | 1850
-75 | 1900
-75 | 1950
-75 | 2000
-75 | 2050
-75 | 2100
-75 | 2150
-75 | 2200
-75 | 2250
-75 | 2300
-75 | 2350
-75 | 2400
-75 | 2450
-72 | 2500
-75 | 2550
-75 | 2600
-72 | 2650
-75 | 2700
-75 | 2750
-75 | 2800
-75 | 2850
-75 | 2900
-75 | 2950
-75 | 3000
-75 | 3050
-75 | 3100
-75 | 3150
-72 | 3200
-75 | 3250
-75 | 3300
-75 | 3350
-75 | 3400
-75 | 3450
-75 | 3500
-75 | 3550
-75 | 3600
-75 | 3650
-75 | 3700
-75 | 3750
-75 | 3800
-75 | 3850
-75 | 3900
-75 | 3950
-75 | 4000
-75 | 4050
-75 | 4100
-75 | 4150
-75 | 4200
-75 | 4250
-75 | 4300
-75 | 4350
-75 | 4400
-75 | 4450
-75 | 4500
-75 | 4550
-75 | 4600
-75 | 4650
-75 | 4700
-75 | 4750
-75 | 4800
-75 | 4850
-75 | 4900
-75 | 4950
-75 | 5000
-75 | 5050
-75 | 5100
-75 | 5150
-75 | 5200
-75 | 5250
-75 | 5300
-75 | 5350
-75 | 5400
-75 | 5450
-75 | 5500
-75 | 5550
-75 | 5600
-75 | 5650
-75 | 5700
-72 | 5750
-72 | 5800
-75 | 5850
-75 | 5900
-75 | 5950
-75 | 6000
-75 | 6050
-75 | 6100
-75 | 6150
-75 | 6200
-75 | 6250
-75 | 6300
-72 | 6350
-75 | 6400
-75 | 6450
-75 | 6500
-75 | 6550
-75 | 6600
-75 | 6650
-75 | 6700
-75 | 6750
-75 | 6800
-75 | 6850
-72 | 6900
-72 | 6950
-75 | 7000
-75 | 7050
-75 | 7100
-75 | 7150
-75 | 7200
-75 | 7250
-75 | 7300
-75 | 7350
-75 | 7400
-75 | 7450
-75 | 7500
-75 | 7550
-75 | 7600
-72 | 7650
-75 | 7700
-75 | 7750
-75 | 7800
-75 | 7850
-75 | 7900
-75 | 7950
-75 | 8000
-75 | 8050
-75 | 8100
-75 | 8150
-75 | 8200
-72 | 8250
