This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-36 | 0
-41 | 50
-40 | 100
-40 | 150
-41 | 200
-41 | 250
-40 | 300
-41 | 350
-41 | 400
-41 | 450
-40 | 500
-41 | 550
-41 | 600
-41 | 650
-41 | 700
-41 | 750
-41 | 800
-40 | 850
-41 | 900
-41 | 950
-41 | 1000
-41 | 1050
-40 | 1100
-41 | 1150
-40 | 1200
-40 | 1250
-41 | 1300
-41 | 1350
-41 | 1400
-41 | 1450
-40 | 1500
-41 | 1550
-41 | 1600
-41 | 1650
-40 | 1700
-41 | 1750
-39 | 1800
-41 | 1850
-41 | 1900
-41 | 1950
-41 | 2000
-39 | 2050
-41 | 2100
-41 | 2150
-41 | 2200
-41 | 2250
-41 | 2300
-40 | 2350
-41 | 2400
-40 | 2450
-38 | 2500
-41 | 2550
-41 | 2600
-41 | 2650
-40 | 2700
-40 | 2750
-41 | 2800
-41 | 2850
-41 | 2900
-41 | 2950
-41 | 3000
-40 | 3050
-41 | 3100
-41 | 3150
-40 | 3200
-41 | 3250
-41 | 3300
-40 | 3350
-41 | 3400
-41 | 3450
-41 | 3500
-41 | 3550
-41 | 3600
-39 | 3650
-41 | 3700
-39 | 3750
-41 | 3800
-41 | 3850
-41 | 3900
-41 | 3950
-40 | 4000
-41 | 4050
-41 | 4100
-41 | 4150
-41 | 4200
-40 | 4250
-41 | 4300
-40 | 4350
-41 | 4400
-41 | 4450
-41 | 4500
-41 | 4550
-40 | 4600
-41 | 4650
-41 | 4700
-40 | 4750
-41 | 4800
-40 | 4850
-41 | 4900
-40 | 4950
-40 | 5000
-41 | 5050
-41 | 5100
-41 | 5150
-41 | 5200
-41 | 5250
-41 | 5300
-41 | 5350
-40 | 5400
-40 | 5450
-41 | 5500
-41 | 5550
-41 | 5600
-41 | 5650
-41 | 5700
-41 | 5750
-41 | 5800
-41 | 5850
-40 | 5900
-40 | 5950
-41 | 6000
-41 | 6050
-41 | 6100
-41 | 6150
-41 | 6200
-41 | 6250
-41 | 6300
-41 | 6350
-41 | 6400
-41 | 6450
-41 | 6500
-41 | 6550
-39 | 6600
-41 | 6650
-40 | 6700
-41 | 6750
-41 | 6800
-41 | 6850
-40 | 6900
-41 | 6950
-39 | 7000
-40 | 7050
-40 | 7100
-41 | 7150
-41 | 7200
-41 | 7250
-41 | 7300
-39 | 7350
-41 | 7400
-41 | 7450
-41 | 7500
-41 | 7550
-41 | 7600
-41 | 7650
-41 | 7700
-40 | 7750
-41 | 7800
-41 | 7850
-38 | 7900
-41 | 7950
-41 | 8000
-41 | 8050
-41 | 8100
-41 | 8150
-41 | 8200
-41 | 8250
-41 | 8300
-40 | 8350
-41 | 8400
-41 | 8450
-40 | 8500
-41 | 8550
-39 | 8600
-41 | 8650
-40 | 8700
-41 | 8750
-41 | 8800
-40 | 8850
-41 | 8900
-41 | 8950
-41 | 9000
-41 | 9050
-41 | 9100
-41 | 9150
-40 | 9200
-41 | 9250
-41 | 9300
-38 | 9350
-40 | 9400
-41 | 9450
-40 | 9500
-40 | 9550
-41 | 9600
-41 | 9650
-41 | 9700
-40 | 9750
-41 | 9800
-41 | 9850
-40 | 9900
-40 | 9950
-40 | 10000
-41 | 10050
-41 | 10100
-41 | 10150
-38 | 10200
-40 | 10250
-41 | 10300
-41 | 10350
-39 | 10400
-41 | 10450
-41 | 10500
-40 | 10550
-41 | 10600
-41 | 10650
-41 | 10700
-41 | 10750
-41 | 10800
-41 | 10850
-40 | 10900
-40 | 10950
-40 | 11000
-41 | 11050
-41 | 11100
-41 | 11150
-39 | 11200
-41 | 11250
-41 | 11300
-41 | 11350
-41 | 11400
-41 | 11450
-41 | 11500
-40 | 11550
-40 | 11600
-41 | 11650
-41 | 11700
-41 | 11750
-41 | 11800
-40 | 11850
-40 | 11900
-41 | 11950
-41 | 12000
-41 | 12050
-41 | 12100
-40 | 12150
-41 | 12200
-40 | 12250
-41 | 12300
-41 | 12350
-40 | 12400
-41 | 12450
-40 | 12500
-41 | 12550
-41 | 12600
-40 | 12650
-41 | 12700
-41 | 12750
-41 | 12800
-41 | 12850
-41 | 12900
-41 | 12950
-41 | 13000
-41 | 13050
-41 | 13100
-40 | 13150
-41 | 13200
-41 | 13250
-41 | 13300
