This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-77 | 0
-77 | 1
-77 | 2
-77 | 3
-79 | 4
-79 | 5
-79 | 6
-79 | 7
-81 | 8
-81 | 9
-81 | 10
-82 | 11
-82 | 12
-82 | 13
-82 | 14
-82 | 15
-82 | 16
-82 | 17
-82 | 18
-81 | 19
-81 | 20
-81 | 21
-81 | 22
-81 | 23
-82 | 24
-82 | 25
-81 | 26
-81 | 27
-81 | 28
-80 | 29
-80 | 30
-78 | 31
-78 | 32
-80 | 33
-80 | 34
-80 | 35
-80 | 36
-81 | 37
-82 | 38
-82 | 39
-82 | 40
-82 | 41
-82 | 42
-82 | 43
-82 | 44
-81 | 45
-80 | 46
-80 | 47
-81 | 48
-82 | 49
-82 | 50
-82 | 51
-82 | 52
-82 | 53
-82 | 54
-82 | 55
-82 | 56
-82 | 57
-82 | 58
-82 | 59
-82 | 60
-82 | 61
-82 | 62
-82 | 63
-82 | 64
-82 | 65
-82 | 66
-82 | 67
-81 | 68
-81 | 69
-81 | 70
-81 | 71
-82 | 72
-82 | 73
-81 | 74
-82 | 75
-82 | 76
-82 | 77
-82 | 78
-82 | 79
-82 | 80
-82 | 81
-81 | 82
-81 | 83
-81 | 84
-81 | 85
-81 | 86
-81 | 87
-81 | 88
-81 | 89
-81 | 90
-81 | 91
-81 | 92
-81 | 93
-81 | 94
-81 | 95
-81 | 96
-81 | 97
-82 | 98
-82 | 99
-82 | 100
-80 | 101
-79 | 102
-80 | 103
-82 | 104
-80 | 105
-80 | 106
-80 | 107
-82 | 108
-82 | 109
-82 | 110
-82 | 111
-82 | 112
-82 | 113
-81 | 114
-81 | 115
-81 | 116
-81 | 117
-81 | 118
-79 | 119
-79 | 120
-79 | 121
-79 | 122
-81 | 123
-81 | 124
-81 | 125
-81 | 126
-81 | 127
-81 | 128
-82 | 129
-82 | 130
-82 | 131
-82 | 132
-82 | 133
-82 | 134
-82 | 135
-82 | 136
-82 | 137
-82 | 138
-82 | 139
-82 | 140
-82 | 141
-82 | 142
-82 | 143
-82 | 144
-82 | 145
-81 | 146
-81 | 147
-81 | 148
-81 | 149
-81 | 150
-81 | 151
-81 | 152
-81 | 153
-82 | 154
-82 | 155
-82 | 156
-82 | 157
-82 | 158
-82 | 159
-82 | 160
-82 | 161
-82 | 162
-82 | 163
-81 | 164
-81 | 165
-81 | 166
-81 | 167
-81 | 168
-81 | 169
-81 | 170
-81 | 171
-81 | 172
-81 | 173
-81 | 174
-81 | 175
-81 | 176
-81 | 177
-81 | 178
-81 | 179
-81 | 180
-81 | 181
-81 | 182
-81 | 183
-81 | 184
-82 | 185
-82 | 186
-82 | 187
-82 | 188
-80 | 189
-82 | 190
-82 | 191
-82 | 192
-82 | 193
-82 | 194
-82 | 195
-82 | 196
-82 | 197
-82 | 198
-82 | 199
-82 | 200
-82 | 201
-82 | 202
-82 | 203
-82 | 204
-82 | 205
-82 | 206
-82 | 207
-82 | 208
-82 | 209
-82 | 210
-82 | 211
-82 | 212
-82 | 213
-82 | 214
-82 | 215
-81 | 216
-81 | 217
-81 | 218
-81 | 219
-81 | 220
-81 | 221
-82 | 222
-82 | 223
-82 | 224
-82 | 225
-82 | 226
-82 | 227
-82 | 228
-82 | 229
-81 | 230
-81 | 231
-81 | 232
-81 | 233
-81 | 234
-81 | 235
-81 | 236
-81 | 237
-81 | 238
-81 | 239
-81 | 240
-81 | 241
-81 | 242
-82 | 243
-82 | 244
-82 | 245
-82 | 246
-82 | 247
-82 | 248
-82 | 249
-82 | 250
-82 | 251
-82 | 252
-82 | 253
-82 | 254
-82 | 255
-82 | 256
-82 | 257
-82 | 258
-82 | 259
-82 | 260
-82 | 261
-82 | 262
-82 | 263
-82 | 264
-82 | 265
-82 | 266
-82 | 267
-82 | 268
-82 | 269
-82 | 270
-82 | 271
-82 | 272
-82 | 273
-82 | 274
-82 | 275
-82 | 276
-82 | 277
-82 | 278
-82 | 279
-82 | 280
-82 | 281
-82 | 282
-81 | 283
-82 | 284
-82 | 285
-82 | 286
-82 | 287
-82 | 288
-82 | 289
-82 | 290
-82 | 291
-82 | 292
-82 | 293
-82 | 294
-82 | 295
-82 | 296
-82 | 297
-82 | 298
-82 | 299
-82 | 300
-82 | 301
-82 | 302
-82 | 303
-82 | 304
-82 | 305
-82 | 306
-82 | 307
-81 | 308
-81 | 309
-81 | 310
-81 | 311
-81 | 312
-81 | 313
-81 | 314
-81 | 315
-81 | 316
-81 | 317
-81 | 318
-80 | 319
-80 | 320
-81 | 321
-81 | 322
-81 | 323
-81 | 324
-81 | 325
-81 | 326
-81 | 327
-81 | 328
-81 | 329
-81 | 330
-81 | 331
-81 | 332
-81 | 333
-81 | 334
-81 | 335
-81 | 336
-81 | 337
-81 | 338
-81 | 339
-81 | 340
-81 | 341
-80 | 342
-80 | 343
-80 | 344
-81 | 345
-81 | 346
-81 | 347
-81 | 348
-81 | 349
-81 | 350
-81 | 351
-81 | 352
-81 | 353
-81 | 354
-81 | 355
-81 | 356
-81 | 357
-81 | 358
-81 | 359
-81 | 360
-81 | 361
-81 | 362
-81 | 363
-80 | 364
-80 | 365
-80 | 366
-81 | 367
-81 | 368
-81 | 369
-81 | 370
-81 | 371
-81 | 372
-81 | 373
-81 | 374
-80 | 375
-80 | 376
-80 | 377
-80 | 378
-80 | 379
-80 | 380
-81 | 381
-81 | 382
-81 | 383
-81 | 384
-80 | 385
-80 | 386
-81 | 387
-82 | 388
-82 | 389
-82 | 390
-82 | 391
-82 | 392
-82 | 393
-82 | 394
-82 | 395
-82 | 396
-82 | 397
-82 | 398
-82 | 399
-82 | 400
-82 | 401
-81 | 402
-81 | 403
-81 | 404
-81 | 405
-81 | 406
-82 | 407
-82 | 408
-82 | 409
-82 | 410
-82 | 411
-82 | 412
-82 | 413
-81 | 414
-81 | 415
-81 | 416
-82 | 417
-82 | 418
-82 | 419
-82 | 420
-82 | 421
-82 | 422
-81 | 423
-81 | 424
-81 | 425
-81 | 426
-81 | 427
-82 | 428
-82 | 429
-82 | 430
-81 | 431
-81 | 432
-81 | 433
-81 | 434
-81 | 435
-81 | 436
-81 | 437
-80 | 438
-80 | 439
-80 | 440
-81 | 441
-81 | 442
-81 | 443
-81 | 444
-81 | 445
-81 | 446
-82 | 447
-82 | 448
-82 | 449
-82 | 450
-82 | 451
-82 | 452
-82 | 453
-82 | 454
-82 | 455
-82 | 456
-82 | 457
-82 | 458
-81 | 459
-81 | 460
-82 | 461
-82 | 462
-82 | 463
-82 | 464
-82 | 465
-81 | 466
-82 | 467
-82 | 468
-82 | 469
-82 | 470
-82 | 471
-82 | 472
-82 | 473
-82 | 474
-82 | 475
-82 | 476
-82 | 477
-82 | 478
-81 | 479
-81 | 480
-81 | 481
-81 | 482
-81 | 483
-80 | 484
-80 | 485
-81 | 486
-81 | 487
-82 | 488
-82 | 489
-82 | 490
-82 | 491
-82 | 492
-81 | 493
-81 | 494
-81 | 495
-81 | 496
-81 | 497
-81 | 498
-81 | 499
-81 | 500
-81 | 501
-82 | 502
-82 | 503
-82 | 504
-82 | 505
-82 | 506
-82 | 507
-82 | 508
-82 | 509
-82 | 510
-82 | 511
-82 | 512
-82 | 513
-82 | 514
-82 | 515
-82 | 516
-82 | 517
-82 | 518
-82 | 519
-82 | 520
-82 | 521
-82 | 522
-82 | 523
-81 | 524
-81 | 525
-80 | 526
-80 | 527
-81 | 528
-81 | 529
-81 | 530
-80 | 531
-80 | 532
-80 | 533
-79 | 534
-79 | 535
-79 | 536
-79 | 537
-79 | 538
-77 | 539
-77 | 540
-78 | 541
-78 | 542
-77 | 543
-79 | 544
-79 | 545
-79 | 546
-79 | 547
-79 | 548
-78 | 549
-79 | 550
-79 | 551
-79 | 552
-79 | 553
-79 | 554
-79 | 555
-79 | 556
-79 | 557
-79 | 558
-79 | 559
-80 | 560
-80 | 561
-80 | 562
-81 | 563
-82 | 564
-82 | 565
-82 | 566
-82 | 567
-81 | 568
-81 | 569
